note ||| 	Mobile Networks and Applications 8, 209–221, 2003 © 2003 Kluwer Academic Publishers. Manufactured in The Netherlands.
title ||| A Unified Approach for Improving QoS and Provider Revenue in
title ||| 3G Mobile Networks
author ||| CHRISTOPH LINDEMANN *, MARCO LOHMANN and AXEL THÜMMLER
affiliation ||| University of Dortmund, Department of Computer Science, August-Schmidt-Str. 12, 44227 Dortmund, Germany
bodyText ||| Abstract. In this paper, we introduce a unified approach for the adaptive control of 3G mobile networks in order to improve both quality
bodyText ||| of service (QoS) for mobile subscribers and to increase revenue for service providers. The introduced approach constantly monitors QoS
bodyText ||| measures as packet loss probability and the current number of active mobile users during operation of the network. Based on the values
bodyText ||| of the QoS measures just observed, the system parameters of the admission controller and packet scheduler are controlled by the adaptive
bodyText ||| performance management entity. Considering UMTS, we present performance curves showing that handover failure probability is improved
bodyText ||| by more than one order of magnitude. Moreover, the packet loss probability can be effectively regulated to a predefined level and provider
bodyText ||| revenue is significantly increased for all pricing policies.
sectionHeader ||| Keywords: performance evaluation of next generation mobile systems, Quality of Service in mobile systems, admission control in mobile
sectionHeader ||| system, pricing and revenue optimization
sectionHeader ||| 1. Introduction
bodyText ||| The third generation (3G) of mobile networks is expected
bodyText ||| to complete the worldwide globalization process of mobile
bodyText ||| communication. Since different parts of the worlds empha-
bodyText ||| size different issues, the global term 3G has regional syn-
bodyText ||| onyms: In the US and Japan, 3G often carries the name In-
bodyText ||| ternational Mobile Telephony 2000 (IMT2000). In Europe,
bodyText ||| 3G has become Universal Mobile Telecommunications Sys-
bodyText ||| tem (UMTS) following the ETSI perspective. The European
bodyText ||| industrial players have created the 3rd Generation Partner-
bodyText ||| ship Project (3GPP) [1] for the standardization of UMTS.
bodyText ||| 3G mobile networks provide the foundation for new services
bodyText ||| with high-rate data not provided by current second generation
bodyText ||| systems [26]. While the standardization of 3G is still ongo-
bodyText ||| ing the discussion of technical issues beyond 3G has already
bodyText ||| started [23,28]. Recently, Aretz et al. reported a vision for
bodyText ||| the future of wireless communication systems beyond 3G that
bodyText ||| consists of a combination of several optimized access systems
bodyText ||| on a common IP-based medium access and core network plat-
bodyText ||| form [5].
bodyText ||| Charging and pricing are essential issues for network op-
bodyText ||| erations of 3G mobile networks. A primary target of differen-
bodyText ||| tiated pricing of Internet services is the prevention of system
bodyText ||| overload and an optimal resource usage according to differ-
bodyText ||| ent daytimes and different traffic intensities [12]. Among the
bodyText ||| proposed pricing proposals, flat-rate pricing [11] is the most
bodyText ||| common mode of payment today for bandwidth services.
bodyText ||| Flat-rate pricing is popular because of its minimal account-
bodyText ||| ing overhead. A flat-rate encourages usage but does not offer
bodyText ||| any motivation for users to adjust their demand. Dynamic
bodyText ||| pricing models that take the state of the network into account
bodyText ||| in the price determination have been proposed as being more
footnote ||| * Corresponding author.
bodyText ||| responsive. Usage-based pricing regulates usage by impos-
bodyText ||| ing a fee based on the amount of data actually sent, whereas
bodyText ||| congestion-sensitive pricing uses a fee based on the current
bodyText ||| state of congestion in the network. Thus, a unified approach
bodyText ||| considering both dynamic pricing and controlling quality of
bodyText ||| service (i.e., performance management) provides an effective
bodyText ||| tool for the operation of 3G mobile networks. However, in
bodyText ||| previous work [8,13,19,21,25] the improvement of Quality of
bodyText ||| Service (QoS) in 3G mobile networks and the optimization
bodyText ||| of mobile service provider revenue has been considered sepa-
bodyText ||| rately.
bodyText ||| The Quality of Service (QoS) concept and architecture for
bodyText ||| UMTS networks specified in [2] provides means for shar-
bodyText ||| ing radio resources among different groups of users accord-
bodyText ||| ing to their individual QoS demands. Furthermore, the con-
bodyText ||| cept of UMTS management and control functions such as
bodyText ||| admission controller and resource manager is roughly out-
bodyText ||| lined. Das et al. proposed a framework for QoS provisioning
bodyText ||| for multimedia services in 3G wireless access networks [8].
bodyText ||| They developed an integrated framework by combining var-
bodyText ||| ious approaches for call admission control, channel reser-
bodyText ||| vation, bandwidth degradation, and bandwidth compaction.
bodyText ||| In [19], we introduced a framework for the adaptive control
bodyText ||| of UMTS networks, which utilizes online monitoring of QoS
bodyText ||| measures (e.g., handover failure and call blocking probabil-
bodyText ||| ities) in order to adjust system parameters of the admission
bodyText ||| controller and the packet scheduler. The presented approach
bodyText ||| is based on a lookup table called the Performance Manage-
bodyText ||| ment Information Base (P-MIB). Entries of the P-MIB have
bodyText ||| to be determined using extensive off-line simulation experi-
bodyText ||| ments to determine optimal parameter configuration for the
bodyText ||| considered scenarios. Given the entries of the P-MIB, we
bodyText ||| showed how to improve QoS for mobile users by periodi-
bodyText ||| cally adjusting system parameters. The practical applicability
bodyText ||| of this approach is limited if the P-MIB comprises many en-
note ||| 210	C. LINDEMANN ET AL.
bodyText ||| tries (i.e., many scenarios have to be considered) because of
bodyText ||| the high computational effort for determining these entries by
bodyText ||| simulation.
bodyText ||| This paper introduces a unified approach for the adaptive
bodyText ||| performance management for 3G mobile networks. As the
bodyText ||| main result of the paper, the introduced approach is based on
bodyText ||| a mathematical framework for the proposed update schemes
bodyText ||| rather than a lookup table. As a consequence, the adaptive
bodyText ||| control mechanism can be adjusted in an intuitive way and
bodyText ||| optimal system parameter configuration can efficiently be de-
bodyText ||| termined. We effectively utilize adaptive performance man-
bodyText ||| agement for improving not only QoS for mobile users but
bodyText ||| also increase revenue earned by service providers. As in [19],
bodyText ||| controlled system parameters comprise queueing weights for
bodyText ||| packet scheduling, a threshold value of the access queue for
bodyText ||| admission of non real-time traffic, and a portion of the over-
bodyText ||| all available bandwidth reserved for handover calls. Be-
