note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
bodyText ||| interface of the system uses the standard windows GDI to
bodyText ||| render most graphics, with GDI+ used for more complex
bodyText ||| effects, such as the gradient fills on the extruded arrows. The
bodyText ||| front-end also includes a series of hooks allowing it to be
bodyText ||| driven from synthetic data sets, as this capability was neces-
bodyText ||| sary for our user study. In order to modify the datasets in real
bodyText ||| time, Sesame registers several global hotkeys allowing us to
bodyText ||| use a second keyboard to control the data Sesame shows to
bodyText ||| study participants. The Sesame front-end gathers process list
bodyText ||| data; the back-end is used to retrieve network status. It also
bodyText ||| includes a simple open-source firewall that is used to inter-
bodyText ||| cept attempts at initiating network connections, and performs
bodyText ||| reverse-DNS and WHOIS lookups to obtain information
bodyText ||| about remote systems. As we did not need complete func-
bodyText ||| tionality for our evaluations, certain backend features related
bodyText ||| to firewall operations, process culling, CPU usage, and
bodyText ||| vender verification were not fully implemented, but were
bodyText ||| mocked up in the front end.
sectionHeader ||| USER STUDY
bodyText ||| We conducted a study to evaluate how well users could
bodyText ||| judge potential security threats using the visualization
bodyText ||| provided by Sesame. Our primary interest was in how well
bodyText ||| users could cumulatively leverage the concepts presented in
bodyText ||| Sesame to make security-related decisions. We chose to
bodyText ||| evaluate these concepts together rather than piecemeal, as the
bodyText ||| experience of our formative study suggested that the differ-
bodyText ||| ent concepts underlying Sesame are heavily interdependent.
bodyText ||| To perform this cumulative evaluation, we asked users to
bodyText ||| make security decisions in an environment with Sesame, as
bodyText ||| well as a more conventional environment using the
bodyText ||| ZoneAlarm firewall instead. To assess usersâ understanding
bodyText ||| of the different ideas in Sesame, we asked various questions
bodyText ||| about different parts of the visualization and about why users
bodyText ||| made particular choices. Note that our focus in this study was
bodyText ||| to understand how the quality of decision-making was
bodyText ||| affected by our visual interface, not on evaluating Sesameâs
bodyText ||| efficiency as a UI (whether it allows faster decision-making),
bodyText ||| or its impact on user motivation (whether it incents people to
bodyText ||| be more active in security management); we leave these as
bodyText ||| future work.
subsectionHeader ||| Participants
bodyText ||| Our study included a total of 20 participants recruited from a
bodyText ||| university campus: 45% female (9 subjects) and 55% male
bodyText ||| (11 subjects). All were undergraduate students; none were
bodyText ||| computer science or computer engineering majors, and none
bodyText ||| considered themselves to be experts in computer operation.
bodyText ||| While those pursuing undergraduate degrees may not ideally
bodyText ||| represent typical users, we found that our participants were
bodyText ||| indeed unfamiliar with basic concepts of computer operation
bodyText ||| such as processes, and security threats such as phishing. We
bodyText ||| therefore felt they were adequately representative. We used
bodyText ||| between-subjects testing, so participants were divided evenly
bodyText ||| between control and experimental groups.
subsectionHeader ||| Security Tasks
bodyText ||| To determine how well participants could identify security
bodyText ||| threats, we gave them several tasks. For each task, they
bodyText ||| effectively had to judge whether a given situation posed a
bodyText ||| security threat. The tasks were based on the types of deci-
bodyText ||| sions users must make in real world use; the first four were
bodyText ||| common personal firewall configuration decisions, the latter
bodyText ||| two required judging the authenticity of websites. The tasks
bodyText ||| included: T1) allow or forbid an incoming connection from
bodyText ||| Microsoft.com after clicking on a video player link; T2)
bodyText ||| allow or forbid an outgoing connection from a spyware
bodyText ||| process named loadsys.exe; T3) allow or forbid an incoming
bodyText ||| connection from a bot server requesting connection with a
bodyText ||| bot process named intmonp.exe; T4) allow or forbid an
bodyText ||| outgoing connection from the process named outlook.exe;
bodyText ||| T5) determine if the website claiming to be Mid America
bodyText ||| Bank is a phishing site; T6) determine if the website claiming
bodyText ||| to be CitiBank is a phishing site. T5 and T6 are intentionally
bodyText ||| similar but whereas T5 represents a threat, T6 does notâthis
bodyText ||| allows us to test for false positives as well as false negatives.
bodyText ||| We balanced the tasks between situations that are triggered
bodyText ||| by user activity (T1, T5, and T6) and those with no direct
bodyText ||| relationship to the userâs actions (T2, T3, and T4).
bodyText ||| Participants performed the security tasks in either the control
bodyText ||| or the experimental environment. The control environment
bodyText ||| was made to reflect the most common configuration used by
bodyText ||| non-experts [15], a typical personal computer with the
bodyText ||| ZoneAlarm firewall. In addition to its ubiquity, we used
bodyText ||| ZoneAlarm in the control because, like Sesame, it provides
bodyText ||| firewall functions and therefore offers many of the same
bodyText ||| actionable controls, and asks many of the same questions, as
bodyText ||| Sesame. It also embodies the textual, indirect interaction
bodyText ||| paradigm employed in most end-user security tools. Further,
bodyText ||| the firewall tasks (T1-T4) were derived from actual prompts
bodyText ||| ZoneAlarm presents to users. Also, rather than use a live
bodyText ||| installation of ZoneAlarm, we made an interactive mockup
bodyText ||| using actual screenshots from ZoneAlarm alertsâthis was to
bodyText ||| ensure that we could control the timing and exact content of
bodyText ||| the dialog boxes. We integrated interactive widgets into our
bodyText ||| mockup as well so that it would behave, as well as appear,
bodyText ||| virtually identical to the actual tool.
bodyText ||| Participants in the experimental group used the same system
bodyText ||| as those in the control, except that Sesame was provided in
bodyText ||| place of ZoneAlarm. Because Sesame offers an unusual user
bodyText ||| interface, we gave participants about 90 seconds to explore it
bodyText ||| before beginning the tasks. We provided no explanation
bodyText ||| about the meaning of Sesameâs behind-the-desktop visual
bodyText ||| elements; we only demonstrated how one could hover over
bodyText ||| and click on some objects to semantically zoom in on them.
bodyText ||| Similarly to ZoneAlarm and other firewalls, for tasks T1-T4,
bodyText ||| Sesame alerted the user to the security situation by bringing
bodyText ||| up a dialog box. From there the user would click a button to
bodyText ||| enter the Sesame UI. For T5-T6, the experimenter explained
bodyText ||| the situation and asked the user to click the always-present
bodyText ||| âOpen Sesameâ button to enter the Sesame interface.
subsectionHeader ||| Study Details
bodyText ||| As each participant began the study, they were asked a series
page ||| 1051
note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
bodyText ||| of background questions to assess their familiarity with
bodyText ||| computers and security tools. Before any tasks were pre-
bodyText ||| sented to them, participants were instructed to think aloud
bodyText ||| about what information they would be using in making their
bodyText ||| decisions. All participants used the same Dell laptop with a
bodyText ||| 15â monitor running Windows XP Home edition. An exter-
bodyText ||| nal keyboard was used by the experimenters to bring up the
bodyText ||| alerts for each security task. The participants were asked to
bodyText ||| make security decisions as if the laptop being used was their
bodyText ||| own.
bodyText ||| As discussed above, for the first security task participants
bodyText ||| were asked to download a video from the Microsoft website
bodyText ||| which caused an alert dialog box from the firewall to pop-up.
bodyText ||| After completing the first task, participants were instructed to
bodyText ||| browse to any website of their choosing. They were then
bodyText ||| presented with the next three tasks while they browsed
bodyText ||| online. Upon the completion of each task, the participant
bodyText ||| continued browsing until the next one was presented to them.
bodyText ||| We were careful during these tasks not to cause a popup to
bodyText ||| appear immediately after the user took an action (e.g.,
bodyText ||| clicking a link) so that they would not erroneously think they
bodyText ||| caused the popup in those cases where they did not. For the
bodyText ||| final two tasks, none of the participants were familiar with
bodyText ||| the term âphishing siteâ so a brief explanation was given.
bodyText ||| Since we were assessing the intelligibility of the Sesame
bodyText ||| visualization, we declined to answer participant questions
bodyText ||| about the meanings of Sesameâs visual elements. We asked
bodyText ||| them to infer as best they could with the information given.
bodyText ||| Participants were asked to think aloud during their decision
bodyText ||| making process for the six tasks, in order to aid us in under-
bodyText ||| standing their reasoning processes. Upon completion of all
bodyText ||| tasks participants were asked follow-up questions in a semi-
bodyText ||| structured interview regarding the choices they made. We
bodyText ||| asked about the clarity of the decisions they had to make, the
bodyText ||| choices presented to them and the information provided by
bodyText ||| the security tool they used (i.e., Sesame or ZoneAlarm). We
bodyText ||| also asked for suggestions for improving the security tools.
bodyText ||| Each subject participated in the study individually and was
bodyText ||| voice recorded to capture responses to the interview ques-
bodyText ||| tions and the think aloud.
sectionHeader ||| RESULTS
bodyText ||| For each participant, we gathered the following data: 1)
bodyText ||| background information, 2) the participantâs âmiss-rateâ for
bodyText ||| the six tasks, and 3) responses to follow-up questions regard-
bodyText ||| ing comprehension of the system information provided. We
bodyText ||| define miss-rate to be the number of potential threats the
bodyText ||| participant evaluated erroneously (i.e., judging a threatening
bodyText ||| situation to be safe or vice versa).
bodyText ||| Participant security background: Based on the background
bodyText ||| information gathered, both the control and experimental
bodyText ||| groups were similar in terms of experience with computers
bodyText ||| and security tools. Participants in the control group had an
bodyText ||| average of 10.4 years of experience using the computer and
bodyText ||| only 2 out of 10 participants did not use any security tool
bodyText ||| (e.g. Norton Anti-virus, firewalls or anti-spyware). Similarly,
bodyText ||| participants in the experimental group had an average of 9.2
bodyText ||| years of experience using the computer and 2 out of 10 did
bodyText ||| not use any security tools. Subjects in both groups were
bodyText ||| asked to briefly describe their security practices besides
bodyText ||| using security software.
bodyText ||| Based on the responses in both groups, the majority of the
bodyText ||| participants did not have or could not recall additional
bodyText ||| security practices they performed besides making occasional
bodyText ||| updates to their security software when alerted to do so by
bodyText ||| their tools. Further, it seems that the amount of time spent
bodyText ||| using a computer does not necessarily translate into familiar-
bodyText ||| ity with the system knowledge needed to make security
bodyText ||| decisions. Although participantsâ computer usage averaged
bodyText ||| 9-10 years, all were unfamiliar with basic system-level
bodyText ||| concepts, e.g., processes, network connections.
bodyText ||| Security task miss-rate: Since our data were non-parametric,
bodyText ||| discrete, and did not appear to fit a known distribution, we
bodyText ||| used a two-tailed Mann-Whitney test to determine if the
bodyText ||| difference in the miss-rate between the ZoneAlarm (control)
bodyText ||| and Sesame (experimental) groups was statistically signifi-
bodyText ||| cant. In the table below, we summarize the miss rate for both
bodyText ||| groups of participants:
table ||| 	ZoneAlarm group miss- rate (6 males, 4 females)	Sesame group miss-rate (5 males, 5 females)
table ||| Females	45.8%	25% (with outlier* 30%)
table ||| Males	36%	20%
table ||| Miss-rate	40%	22.2% (with outlier* 26.6%)
table ||| *Outlier miss-rate: 66.7%
tableCaption ||| Table 1. Participant miss-rate for security tasks
bodyText ||| Of the 20 participants, we identified one outlier whose miss-
bodyText ||| rate was 66.7%. During the study, this participant expressed
bodyText ||| concern about completing the tasks because s/he was very
bodyText ||| unfamiliar with the Windows environment given that the
bodyText ||| participantâs primary computer was a Macintosh.
bodyText ||| Cumulatively over all of the tasks, the experimental group
bodyText ||| performed significantly better than the control group. Includ-
bodyText ||| ing the outlier, the miss-rate for the group using Sesame is
bodyText ||| 26.6% while the miss-rate is 40% for the control group
bodyText ||| (Z=1.97, P=0.05). (When the outlier is excluded, the Sesame
bodyText ||| group miss-rate is reduced further to 22.2%, Z=2.53,
bodyText ||| P=0.05). Over just the firewall-like tasks (T1-T4), the
bodyText ||| experimental group using Sesame performed 41 % better than
bodyText ||| the control group; but if the outlier is included, the experi-
bodyText ||| mental group performs just 20% better. However, when tasks
bodyText ||| were considered individually or in smaller sets, we did not
bodyText ||| have statistically significant differences between groups due
bodyText ||| to our relatively small sample size. Figure 6 shows the
bodyText ||| success rates by task, including the outlier.
bodyText ||| Information Comprehension: After the completion of the six
bodyText ||| security tasks, we interviewed participants to understand
bodyText ||| their reactions to the tasks they performed and, for the
bodyText ||| experimental group, to assess how much of Sesame they
bodyText ||| understood. Most of the participants in the control group
bodyText ||| stated that they were uncertain how to use the information
page ||| 1052
note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
figure ||| T1	T2	T3	T4	T5	T6
figure ||| Task (T)
figureCaption ||| Figure 6: Participant hit-rates for security tasks
bodyText ||| provided by ZoneAlarm in making their security decisions.
bodyText ||| Also, many of the participants (seven out of ten) said they
bodyText ||| were following a specific strategy in making allow/deny
bodyText ||| decisions. Five of the seven were either allowing or denying
bodyText ||| every connection request. For example, one participant said
bodyText ||| âI donât want to read all this stuff so Iâm just going to deny
bodyText ||| it. If I allow it, I may have to do something else.â The
bodyText ||| remaining two of the seven allowed or denied based on
bodyText ||| whether they could recognize the process name. Even though
bodyText ||| all the participants had access to a lot of information pro-
bodyText ||| vided by Zone Alarm, only five participants in total looked at
bodyText ||| the process name given to help with their decision. The more
bodyText ||| info button was consistently ignored.
bodyText ||| Cumulatively, as discussed above, the experimental group
bodyText ||| performed significantly better than the control group. One
bodyText ||| contributing factor for this may have been that none of the
bodyText ||| participants reported using a predetermined strategy in
bodyText ||| making decisions. But perhaps more importantly, Sesame
bodyText ||| users appeared to employ more of the information provided
bodyText ||| than the control group in making their allow/deny decisions.
bodyText ||| Sesame users reported using information about the processes
bodyText ||| themselves as well as the remote systems to which they were
bodyText ||| connecting. In contrast, control users tended to rely on
bodyText ||| process names only. We suspect that this may be because
bodyText ||| Sesame provided a more accessible explanation of the
bodyText ||| general significance and specific facts about remote systems.
bodyText ||| For example, five participants found the geography informa-
bodyText ||| tion provided on remote systems to be helpful. Participants
bodyText ||| also reported that the type of language used in Sesame was
bodyText ||| helpful, as well as the permission cards in the allow/deny
bodyText ||| dialog boxâthough it is not clear that the latter specifically
bodyText ||| aided them in performing the tasks.
bodyText ||| To assess the extent to which participants understood the
bodyText ||| conceptual model Sesame provides, we asked them to
bodyText ||| describe the visualization. We specifically inquired about the
bodyText ||| nature of the visual elements such as processes, and about the
bodyText ||| distinction between areas representing things within the
bodyText ||| computer versus outside of the computer. We found that 8 of
bodyText ||| the 10 users understood the basic significance of the cubes
bodyText ||| representing foreground processes. Background processes
bodyText ||| posed a challenge, with only 2 users understanding their
bodyText ||| purpose. We were surprised by this finding, as we explicitly
bodyText ||| included a textual description of the distinction between the
bodyText ||| two types of processes within the UI. The representations of
bodyText ||| the remote computers were understood well, with 8 partici-
bodyText ||| pants recognizing their meaning. Eight participants also
bodyText ||| understood the basic purpose of the arrows connecting
bodyText ||| processes to the remote computers. Finally, 8 of the 10
bodyText ||| participants were also able to identify the areas of the Sesame
bodyText ||| UI that represented things considered to be within the com-
bodyText ||| puter, versus the areas representing things that were âoutsideâ
bodyText ||| the computer.
sectionHeader ||| DISCUSSION AND FUTURE WORK
bodyText ||| The results of our study are encouraging, suggesting that on
bodyText ||| the whole, Sesameâs novel UI helps users make better
bodyText ||| security decisions than with typical security environments
bodyText ||| with a traditional firewall. We were especially pleased that
bodyText ||| our representation could be reasonably well interpreted
bodyText ||| without explanation. E.g., nearly all users understood the
bodyText ||| division between the internal and external regions of the
bodyText ||| designâthis was a particular challenge we faced in earlier
bodyText ||| prototypes. The results suggest our basic representational
bodyText ||| approach to be a viable alternative to conventional textual
bodyText ||| approaches; and that novice users seem to rapidly learn a
bodyText ||| system-level structure when it is framed visually and in terms
bodyText ||| of more familiar concepts as was done in Sesame. While
bodyText ||| there is evidence that Sesameâs visual presentation is more
bodyText ||| effective than traditional firewalls, additional, larger studies
bodyText ||| are needed to confirm this.
bodyText ||| Besides the seemingly successful aspects of Sesame, the
bodyText ||| shortcomings of the UI were also informative. A common
bodyText ||| difficulty for participants was inferring causal relationships.
bodyText ||| Many participants felt that actions they took caused Sesame
bodyText ||| to bring up dialog boxes, even in cases where the Sesame
bodyText ||| visualization itself gave indications to the contrary. Addi-
bodyText ||| tionally, participant comments suggested they often had
bodyText ||| difficulty grasping the idea of their computerâs software
bodyText ||| environment as a collection of quasi-independent causal
bodyText ||| agents, instead inferring strong relationships among the
bodyText ||| different processes. These difficulties suggest that future
bodyText ||| versions of Sesame might use metaphors that better suggest
bodyText ||| the agent-causal nature of processesâsuch as depicting them
bodyText ||| with animated, anthropomorphic figures.
bodyText ||| While we evaluated Sesame as a holistic combination of its
bodyText ||| features, we do believe that there are generalizable design
bodyText ||| principles from our experiences that could be applied to other
bodyText ||| systems.
bodyText ||| First, given our desire to provide a direct manipulation
bodyText ||| interface, swiveling the desktop to show the underlying
bodyText ||| system seemed to be an accessible way to provide context to
bodyText ||| help users understand otherwise hidden features. That there
bodyText ||| are other possible approaches is certain; however, we believe
bodyText ||| that the generalizable principle here is that contextualization
bodyText ||| of new information with familiar, known concepts is a key
bodyText ||| for non-expert use. Our swivel metaphor is one (but not the
bodyText ||| only) way one might accomplish this.
bodyText ||| Second, Sesameâs policy cards provide a persistent visual
bodyText ||| indication of policy settings, allowing them to be easily seen
bodyText ||| and accessed by users in the future. The utility of persistent
bodyText ||| visual indicators âto support awareness of system state, to
figure ||| 120
figure ||| 100
figure ||| 80
figure ||| 60
figure ||| 40
figure ||| 20
figure ||| 0
figure ||| Success Rate By Task
figure ||| Sesame
figure ||| Control
page ||| 1053
note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
bodyText ||| serve as an affordance for reversibility, and so forthâseems
bodyText ||| particularly important for conveying security state, where re-
bodyText ||| accessibility and intelligibility are especially difficult. We
bodyText ||| believe this to be a severe failing of current firewalls, in
bodyText ||| which settingsâonce configuredâare often difficult to re-
bodyText ||| access.
bodyText ||| Third, we believe that metaphorical 3D models may aid in
bodyText ||| helping non-experts understand system information where
bodyText ||| necessary; particularly when it involves concepts underlying
bodyText ||| the desktop metaphor. Such modeling need not be limited to
bodyText ||| a firewall UI. Like file management models (e.g. two file
bodyText ||| folders with pages transferring from one to the other to show
bodyText ||| the status of copying), other system models can be embedded
bodyText ||| in applications, perhaps with individual components rotating
bodyText ||| aside to reveal relevant underlying system information. Our
bodyText ||| study suggests that security information embedded in such a
bodyText ||| model can be effectively leveraged by end-users.
bodyText ||| Finally, Sesame shows the viability of direct manipulation
bodyText ||| (DM) in low level, security and configuration interfaces,
bodyText ||| whereas DM is traditionally only used for windowing and
bodyText ||| within applications. We believe that this area is ripe for the
bodyText ||| use of other specific design techniques from the HCI com-
bodyText ||| munity, such as the use of 2.5D UIâs to extend the desktop
bodyText ||| metaphor. Our work suggests that users can understand
bodyText ||| relationships between different levels of abstraction through
bodyText ||| such well-proved techniques, even when dealing with the
bodyText ||| complex information necessary for security and system
bodyText ||| decision-making.
sectionHeader ||| CONCLUSION
bodyText ||| Sesame brings a direct manipulation graphical interface to
bodyText ||| end-user security to help non-experts make better informed
bodyText ||| security choices. Most prior work in end-user security tended
bodyText ||| to be highly task or threat-specific; or largely text-based
bodyText ||| and/or designed for experts. There are few tools if any which
bodyText ||| focus explicitly on helping non-expert users to better under-
bodyText ||| stand the technical, system-level concepts needed to make
bodyText ||| security decisions. With Sesame, we investigate an approach
bodyText ||| to providing non-experts with a general, firewall-like tool
bodyText ||| that addresses a wider range of threats independent of
bodyText ||| specific tasks or applications.
bodyText ||| Further, we move toward making system-level concepts
bodyText ||| accessible to non-experts by representing them as concrete
bodyText ||| objects and relating them to more familiar concepts such as
bodyText ||| desktop-level objects and real world abstractions like geo-
bodyText ||| graphic locations. In a controlled study, Sesame users were
bodyText ||| more likely to identify security threats accurately than users
bodyText ||| with more typical software environments. Sesame users were
bodyText ||| further able to understand many of the otherwise unfamiliar
bodyText ||| system-level concepts conveyed, suggesting viability to our
bodyText ||| fundamental interface approach. In the future, we plan to
bodyText ||| conduct further studies and explore how better to convey
bodyText ||| those concepts with which users struggled.
sectionHeader ||| ACKNOWLEDGEMENTS
bodyText ||| We thank our colleagues at Georgia Tech for their helpful
bodyText ||| feedback, in particular, John Stasko and Pixi Lab members;
bodyText ||| and we thank Symantec for their support for this work.
sectionHeader ||| REFERENCES
reference ||| 1. Conti, G., Abdullah, K., Grizzard, J., Stasko, J., Copeland, J.,
reference ||| Ahamad, M., Owen, H., Lee, C. Countering Security Informa-
reference ||| tion Overload through Alert and Pack Visualization. IEEE
reference ||| Computer Graphics (2006).
reference ||| 2. Dhamija, Rachna, Tygar, J.Doug. The Battle Against Phishing:
reference ||| Dynamic Security Skins. Symposium On Usable Privacy and
reference ||| Security, (2005).
reference ||| 3. DiGioia, P., Dourish P. Social Navigation as a Model for
reference ||| Usable Security. Symposium On Usable Privacy and Security
reference ||| (2005).
reference ||| 4. Downs, J. S., Holbrook, M. B., Cranor, L. F. Decision Strate-
reference ||| gies and Susceptibility to Phishing. Symposium On Usable
reference ||| Privacy and Security, (2005).
reference ||| 5. Edwards, W. K., Shehan, E., Stoll, J. Security Automation
reference ||| Considered Harmful? NSPW (2007)
reference ||| 6. Flinn, S.A., Flock of Birds, Safely Staged. DIMACS Workshop
reference ||| on Usable Privacy &amp; Security Software (2005).
reference ||| 7. Foresti, S., Agutter, J. Visual Correlation of Network Alerts.
reference ||| IEEE Computer Graphics (2006).
reference ||| 8. Hutchins, E., Hollan, J., Norman, D. Direct Manipulation
reference ||| Interfaces. Human Computer Interaction, 1985. 1: p. 311-338.
reference ||| 9. Know Your Enemy: Tracking Botnets. Honeynet Project and
reference ||| Research Alliance. honeynet.org/papers/bots (2005).
reference ||| 10. Nielsen, J., Landauer, T. K., A mathematical model of the
reference ||| finding of usability problems. Proceedings of the ACM
reference ||| INTERCHIâ93 Conference (1993).
reference ||| 11. Shukla, S., Nah, F., Web Browsing and Spyware Intrusion.
reference ||| Communications of the ACM.Vol. 48, No. 8 (2005).
reference ||| 12. Smetters, D., Grinter, R. Moving from the Design of Usable
reference ||| Security Technologies to the Design of Useful Secure Applica-
reference ||| tions. NSPW (2002).
reference ||| 13. Spyware. NISCC Technical Note. National Infrastructure
reference ||| Security Coordination Centre. (2006).
reference ||| 14. Thorpe, S., Fize, D. &amp; Marlot, C. (1996).Speed of processing
reference ||| in the human visual system. Nature, 381, 520-522.
reference ||| 15. Walker, A. Absolute Beginnerâs Guide to Security, Spam,
reference ||| Spyware &amp; Viruses. Que Publishing, Â© 2006.
reference ||| 16. Whalen, T., Inkpen, K. Techniques for Visual Feedback of
reference ||| Security State. DIMACS Workshop on Usable Privacy and Se-
reference ||| curity Software (2004).
reference ||| 17. Whitten, A., Tygar, J. Safe Security Staging. CHI 2003
reference ||| Workshop on Human-Computer Interaction and Security Sys-
reference ||| tems (2003).
reference ||| 18. Whitten, A., Tygar, J., Why Johnny Canât Encrypt. Proc. of the
reference ||| 8th USENIX Security Symposium (1999).
reference ||| 19. Wu, M., Miller, R. C., Little, G. Web Wallet: Preventing
reference ||| Phishing Attacks by Revealing User Intentions. Symposium On
reference ||| Usable Privacy and Security, (2006).
reference ||| 20. Wu, M., Miller, R. C., Garfinkel, S., Do Security Toolbars
reference ||| Actually Prevent Phishing Attacks? CHI (2006).
reference ||| 21. Yee, K., Sitaker, K. Passpet: Convenient Password Manage-
reference ||| ment and Phishing Protection. Symposium On Usable Privacy
reference ||| and Security, (2006).
reference ||| 22. www.sysinternals.com/Utilities/
page ||| 1054
